"TIME_PERIOD","CAL_YEAR","CAL_QUARTER","REC_RATE_PCT","REVIEW_COUNT","GOOD_REVIEWS_PCT"
"2016 Q4",2016,4,0.000000,1,0.000000
"2017 Q1",2017,1,0.000000,1,0.000000
"2017 Q2",2017,2,0.000000,2,0.000000
"2017 Q3",2017,3,66.666700,3,33.333300
"2017 Q4",2017,4,37.500000,32,21.875000
"2018 Q1",2018,1,28.070200,57,24.561400
"2018 Q2",2018,2,26.373600,91,21.978000
"2018 Q3",2018,3,27.027000,74,17.567600
"2018 Q4",2018,4,13.235300,68,13.235300
"2019 Q1",2019,1,24.637700,69,18.840600
"2019 Q2",2019,2,27.272700,77,19.480500
"2019 Q3",2019,3,21.917800,73,19.178100
"2019 Q4",2019,4,35.714300,56,32.142900
"2020 Q1",2020,1,40.540500,37,27.027000
"2020 Q2",2020,2,22.222200,9,11.111100
"2020 Q3",2020,3,18.181800,11,18.181800
"2020 Q4",2020,4,41.666700,12,25.000000
"2021 Q1",2021,1,0.000000,6,0.000000
"2021 Q2",2021,2,27.777800,36,22.222200
"2021 Q3",2021,3,12.328800,73,6.849300
"2021 Q4",2021,4,23.913000,46,10.869600
"2022 Q1",2022,1,18.032800,61,14.754100
"2022 Q2",2022,2,13.750000,80,12.500000
"2022 Q3",2022,3,21.311500,61,14.754100
"2022 Q4",2022,4,28.301900,53,28.301900
"2023 Q1",2023,1,18.604700,43,6.976700
"2023 Q2",2023,2,23.333300,60,20.000000
"2023 Q3",2023,3,11.904800,42,9.523800
"2023 Q4",2023,4,21.428600,14,21.428600
"2024 Q1",2024,1,40.000000,20,35.000000
"2024 Q2",2024,2,16.000000,25,12.000000
"2024 Q3",2024,3,5.000000,20,5.000000
"2024 Q4",2024,4,36.363600,22,27.272700
"2025 Q1",2025,1,30.769200,13,15.384600
"2025 Q2",2025,2,5.263200,19,0.000000
"2025 Q3",2025,3,40.000000,10,50.000000
"2025 Q4",2025,4,54.545500,11,36.363600
"2026 Q1",2026,1,33.333300,6,33.333300
