"AIRLINE_NAME","TOTAL_REVIEWS","AVG_RATING","REC_RATE","AIRLINE_TYPE"
"American Airlines",2897,1.82,10.7,"Competitor"
"United Airlines",2219,1.99,16.4,"Competitor"
"Spirit Airlines",2074,1.49,9.1,"Competitor"
"Frontier Airlines",1884,1.39,4.7,"Competitor"
"Qatar Airways",1435,3.76,68.0,"Competitor"
"Delta Air Lines",1394,2.38,23.6,"Delta Air Lines"
"British Airways",1391,2.60,34.0,"Competitor"
"Turkish Airlines",1374,2.40,23.9,"Competitor"
"Lufthansa",1248,2.48,29.3,"Competitor"
"Air Canada",1141,2.15,18.1,"Competitor"
"Ryanair",940,2.04,25.3,"Competitor"
"Emirates",917,2.76,33.4,"Competitor"
"China Southern Airlines",794,4.20,89.8,"Competitor"
"KLM Royal Dutch Airlines",782,2.71,37.5,"Competitor"
"Wizz Air",778,1.82,16.7,"Competitor"
"Etihad Airways",767,2.21,18.8,"Competitor"
"TAP Portugal",751,2.23,22.8,"Competitor"
"Flair Airlines",750,1.79,15.2,"Competitor"
"Southwest Airlines",745,2.29,23.9,"Competitor"
"Singapore Airlines",742,3.54,60.0,"Competitor"
"Jetblue Airways",736,2.04,13.2,"Competitor"
"Qantas Airways",732,2.71,38.7,"Competitor"
"Air India",714,2.27,25.9,"Competitor"
"Air France",629,2.69,37.2,"Competitor"
"WestJet Airlines",622,2.02,16.1,"Competitor"
"Allegiant Air",612,1.62,10.0,"Competitor"
"easyJet",577,2.32,29.5,"Competitor"
"Volotea",559,3.94,81.9,"Competitor"
"Malaysia Airlines",551,2.78,42.8,"Competitor"
"Jetstar Airways",545,1.83,16.5,"Competitor"
"Cathay Pacific Airways",524,3.29,52.7,"Competitor"
"VietJet Air",506,1.89,18.0,"Competitor"
"Swoop",493,2.15,24.9,"Competitor"
"Swiss Intl Air Lines",489,2.65,34.2,"Competitor"
"Norwegian",456,2.40,29.4,"Competitor"
"Vueling Airlines",449,1.64,10.0,"Competitor"
"Alaska Airlines",441,2.20,22.2,"Competitor"
"SpiceJet",438,2.33,31.1,"Competitor"
"Philippine Airlines",436,2.84,40.8,"Competitor"
"AirAsia",429,2.28,29.8,"Competitor"
"Virgin Australia",425,2.71,48.5,"Competitor"
"LOT Polish Airlines",409,2.38,29.1,"Competitor"
"Thai Airways",391,3.04,49.9,"Competitor"
"Avianca",380,1.64,7.9,"Competitor"
"Scoot",363,2.12,24.5,"Competitor"
"LATAM Airlines",359,2.26,24.8,"Competitor"
"SAS Scandinavian",357,2.10,18.8,"Competitor"
"Garuda Indonesia",352,4.01,77.8,"Competitor"
"Iberia",351,2.26,19.9,"Competitor"
"Finnair",338,2.64,35.5,"Competitor"
"Aegean Airlines",332,2.95,47.0,"Competitor"
"Austrian Airlines",325,2.42,30.2,"Competitor"
"IndiGo",308,2.66,38.6,"Competitor"
"Aer Lingus",300,2.27,20.0,"Competitor"
"Lynx Air",295,2.14,24.1,"Competitor"
"Air New Zealand",286,2.67,30.4,"Competitor"
"Aeromexico",284,2.07,17.3,"Competitor"
"Eurowings",284,1.93,18.0,"Competitor"
"Vietnam Airlines",263,2.97,51.7,"Competitor"
"Ethiopian Airlines",263,2.44,31.9,"Competitor"
"Breeze Airways",255,2.39,25.1,"Competitor"
"flydubai",245,1.89,18.0,"Competitor"
"Air China",245,2.54,37.6,"Competitor"
"Icelandair",239,2.17,18.8,"Competitor"
"Kenya Airways",239,2.49,33.9,"Competitor"
"Saudi Arabian Airlines",237,2.45,35.0,"Competitor"
"SriLankan Airlines",233,2.67,39.5,"Competitor"
"WOW air",217,1.83,18.4,"Competitor"
"Cebu Pacific",214,1.97,18.7,"Competitor"
"Oman Air",208,2.73,39.9,"Competitor"
"Brussels Airlines",203,2.18,26.1,"Competitor"
